"total_incidents","avg_heat_index","is_weekend","is_first_day_of_month","is_new_years_day"
567,11.7,1,0,0
519,8.3,1,0,0
523,7.2,1,0,0
496,10,0,0,0
547,19.4,0,0,0
506,17.2,0,0,0
501,6.1,0,0,0
532,7.2,1,0,0
571,12.8,1,0,0
499,18.9,1,0,0
549,11.7,0,0,0
531,15.6,0,0,0
545,16.7,0,0,0
573,21.1,0,0,0
524,12.8,1,1,0
472,6.1,1,0,0
533,22.2,1,0,0
468,8.3,0,0,0
471,10,0,0,0
513,8.3,0,0,0
456,6.7,1,0,0
491,3.3,1,0,0
507,9.4,1,0,0
493,11.1,0,0,0
496,10,0,0,0
524,13.9,0,0,0
513,16.1,0,0,0
571,20.6,1,0,0
575,25,1,0,0
555,26.7,1,0,0
559,26.9,0,0,0
539,22.8,0,0,0
505,22.8,0,0,0
509,21.7,0,0,0
532,15.6,1,0,0
520,15.6,1,0,0
571,26.7,1,0,0
570,28.5,0,0,0
491,29.4,0,0,0
482,10,0,0,0
532,10.6,0,0,0
543,10.6,1,0,0
464,10,1,0,0
563,10.6,1,1,0
557,14.4,0,0,0
534,20,0,0,0
491,18.3,0,0,0
502,16.1,0,0,0
600,28.1,1,0,0
601,27,1,0,0
564,20.6,1,0,0
542,18.9,0,0,0
531,21.7,0,0,0
570,20.6,0,0,0
522,21.7,0,0,0
599,19.4,1,0,0
535,16.7,1,0,0
575,13.9,1,0,0
565,21.7,0,0,0
496,18.9,0,0,0
622,18.9,0,0,0
554,20.6,0,0,0
601,20,1,0,0
611,24.4,1,0,0
592,25.6,1,0,0
578,27.4,0,0,0
618,29.5,0,0,0
544,33.2,0,0,0
582,34,0,0,0
597,31.9,1,0,0
617,31.3,1,0,0
632,28.8,1,0,0
662,31.6,0,0,0
547,30,0,0,0
596,29.9,0,1,0
603,26.7,0,0,0
602,28.8,1,0,0
597,28.2,1,0,0
594,28.6,1,0,0
581,28.9,0,0,0
554,25,0,0,0
554,21.1,0,0,0
520,22.8,0,0,0
583,42.6,1,0,0
648,34.4,1,0,0
665,32.4,1,0,0
598,30.6,0,0,0
604,32.4,0,0,0
584,41.9,0,0,0
620,38.7,0,0,0
620,30.9,1,0,0
611,29.7,1,0,0
679,32.3,1,0,0
646,37.1,0,0,0
635,31.5,0,0,0
561,30,0,0,0
593,26.7,0,0,0
624,28.9,1,0,0
648,35.9,1,0,0
623,37.1,1,0,0
587,33.3,0,0,0
564,25.6,0,0,0
598,25.6,0,0,0
632,26.1,0,0,0
640,25,1,1,0
569,25,1,0,0
610,25.6,1,0,0
699,28.8,0,0,0
704,36.4,0,0,0
574,38,0,0,0
582,33,0,0,0
613,36.8,1,0,0
584,30,1,0,0
613,29.7,1,0,0
540,38.3,0,0,0
562,38,0,0,0
545,36.5,0,0,0
568,37.1,0,0,0
651,30.9,1,0,0
631,25,1,0,0
631,32.7,1,0,0
609,36.1,0,0,0
611,34.2,0,0,0
632,36.7,0,0,0
585,42.2,0,0,0
604,43.5,1,0,0
668,43.3,1,0,0
647,50.7,1,0,0
627,34.1,0,0,0
674,32,0,0,0
617,34.6,0,0,0
574,32,0,0,0
603,32,1,0,0
753,26.1,1,0,0
691,30.5,1,0,0
602,31.2,0,1,0
606,35.6,0,0,0
583,36.1,0,0,0
610,36.8,0,0,0
672,38,1,0,0
670,29.5,1,0,0
668,29.8,1,0,0
617,30.5,0,0,0
534,33.9,0,0,0
536,35.9,0,0,0
652,42.6,0,0,0
583,40.5,1,0,0
654,36.4,1,0,0
688,31.9,1,0,0
641,32.4,0,0,0
613,34,0,0,0
677,35.8,0,0,0
569,35.5,0,0,0
624,33.5,1,0,0
684,31.9,1,0,0
658,25,1,0,0
574,26.1,0,0,0
590,28.8,0,0,0
639,33.8,0,0,0
618,34.8,0,0,0
626,28.9,1,0,0
670,36.7,1,0,0
663,32.2,1,0,0
707,42.4,0,0,0
596,35.2,0,0,0
615,26.7,0,0,0
696,23.3,0,1,0
620,23.9,1,0,0
653,25,1,0,0
613,28.2,1,0,0
657,37.4,0,0,0
572,44.8,0,0,0
559,43,0,0,0
626,41.4,0,0,0
621,29.8,1,0,0
616,22.8,1,0,0
621,24.4,1,0,0
615,27.4,0,0,0
627,33,0,0,0
626,25.6,0,0,0
651,25.6,0,0,0
615,31.1,1,0,0
676,30.8,1,0,0
642,28.4,1,0,0
571,32.8,0,0,0
612,28.9,0,0,0
560,25.6,0,0,0
630,32.6,0,0,0
630,33.7,1,0,0
657,24.4,1,0,0
673,34.3,1,0,0
598,27.5,0,0,0
578,22.2,0,0,0
511,18.9,0,0,0
536,19.4,0,0,0
598,18.9,1,0,0
630,18.3,1,1,0
585,19.4,1,0,0
596,19.4,0,0,0
549,23.9,0,0,0
583,29.1,0,0,0
567,23.9,0,0,0
655,22.8,1,0,0
593,18.9,1,0,0
573,17.2,1,0,0
568,22.8,0,0,0
512,24.4,0,0,0
571,22.2,0,0,0
498,14.4,0,0,0
628,20,1,0,0
650,21.7,1,0,0
629,22.2,1,0,0
632,34.3,0,0,0
604,29.1,0,0,0
558,22.2,0,0,0
564,17.8,0,0,0
585,12.8,1,0,0
599,16.1,1,0,0
629,22.8,1,0,0
585,19.4,0,0,0
574,11.7,0,0,0
541,10.6,0,0,0
580,11.1,0,0,0
633,18.3,1,0,0
647,22.8,1,0,0
626,17.2,1,0,0
686,15,0,0,0
631,25,0,1,0
622,22.8,0,0,0
647,18.9,0,0,0
622,17.2,1,0,0
682,20.6,1,0,0
632,21.1,1,0,0
585,19.4,0,0,0
498,17.8,0,0,0
553,14.4,0,0,0
560,17.8,0,0,0
600,14.4,1,0,0
634,11.1,1,0,0
523,13.9,1,0,0
514,16.1,0,0,0
539,13.9,0,0,0
597,16.1,0,0,0
618,23.3,0,0,0
594,20,1,0,0
553,9.4,1,0,0
512,2.2,1,0,0
508,6.1,0,0,0
550,4.4,0,0,0
532,7,0,0,0
445,7.8,0,0,0
536,5.6,1,0,0
567,8.9,1,0,0
556,6.7,1,0,0
549,11.1,0,0,0
539,14.4,0,0,0
547,12.8,0,0,0
555,5.6,0,1,0
624,5,1,0,0
610,3.3,1,0,0
497,1.7,1,0,0
507,1.1,0,0,0
526,4.4,0,0,0
518,0.6,0,0,0
465,-3,0,0,0
485,-3.3,1,0,0
468,-3.9,1,0,0
417,1.1,1,0,0
449,1.7,0,0,0
420,-3.9,0,0,0
464,-6.1,0,0,0
413,-10.6,0,0,0
528,-6.1,1,0,0
486,-3,1,0,0
415,-5.6,1,0,0
477,-10,0,0,0
524,-1.1,0,0,0
548,2.8,0,0,0
552,3.9,0,0,0
564,3.3,1,0,0
496,2.8,1,0,0
399,2.2,1,0,0
528,12.8,0,0,0
503,5.6,0,0,0
537,6.7,0,0,0
480,5,0,0,0
545,1.7,1,0,0
568,6.1,1,0,0
671,5,1,1,1
449,4.4,0,0,0
525,6,0,0,0
443,2.8,0,0,0
435,-8.9,0,0,0
454,-11.7,1,0,0
461,-7.2,1,0,0
451,-6.7,1,0,0
531,-1.1,0,0,0
519,11.1,0,0,0
479,7.2,0,0,0
465,5,0,0,0
589,-1.7,1,0,0
496,1.7,1,0,0
513,1.7,1,0,0
518,2.8,0,0,0
521,4.4,0,0,0
531,2.2,0,0,0
521,5.6,0,0,0
594,6,1,0,0
609,15.6,1,0,0
554,10.6,1,0,0
623,6.1,0,0,0
551,6.1,0,0,0
577,7,0,0,0
513,3.3,0,0,0
551,0.6,1,0,0
572,-1.1,1,0,0
479,-1.1,1,0,0
564,0,0,0,0
548,6.1,0,0,0
571,3.9,0,1,0
491,0.6,0,0,0
466,-1.7,1,0,0
487,1.1,1,0,0
544,5,1,0,0
577,12.8,0,0,0
519,12,0,0,0
485,6.7,0,0,0
471,-2.2,0,0,0
529,5,1,0,0
535,11.1,1,0,0
534,9.4,1,0,0
543,7.2,0,0,0
527,10.6,0,0,0
489,7.8,0,0,0
501,5.6,0,0,0
614,19.4,1,0,0
569,21.1,1,0,0
542,19.4,1,0,0
534,20.6,0,0,0
497,18.3,0,0,0
513,19.4,0,0,0
441,18.3,0,0,0
492,6.7,1,0,0
440,6.7,1,0,0
421,9.4,1,0,0
468,12.2,0,0,0
473,15,0,0,0
448,15,0,1,0
428,2.2,0,0,0
486,0.6,1,0,0
463,5.6,1,0,0
499,16.1,1,0,0
514,16,0,0,0
492,17.8,0,0,0
471,11.1,0,0,0
485,10,0,0,0
472,2.8,1,0,0
496,-1.1,1,0,0
397,2.2,1,0,0
394,0.6,0,0,0
331,-0.6,0,0,0
437,0.6,0,0,0
486,5.6,0,0,0
520,9.4,1,0,0
520,10,1,0,0
458,11.7,1,0,0
502,12.2,0,0,0
470,12.8,0,0,0
507,3.3,0,0,0
475,10.6,0,0,0
590,28,1,0,0
533,8.9,1,0,0
548,16.7,1,0,0
539,13.3,0,0,0
507,8.3,0,0,0
496,9.4,0,0,0
519,8.3,0,0,0
553,7.2,1,0,0
578,13.3,1,1,0
536,15.6,1,0,0
510,11.7,0,0,0
504,13.3,0,0,0
467,10.6,0,0,0
502,11.1,0,0,0
515,12.2,1,0,0
541,19.4,1,0,0
590,25,1,0,0
476,25.6,0,0,0
490,12.8,0,0,0
550,13.9,0,0,0
490,16.7,0,0,0
566,20.6,1,0,0
654,29.2,1,0,0
548,26.1,1,0,0
557,20.6,0,0,0
534,25,0,0,0
558,24.4,0,0,0
547,23.9,0,0,0
589,15,1,0,0
528,14.4,1,0,0
553,20.6,1,0,0
563,22.2,0,0,0
570,26.7,0,0,0
583,25.6,0,0,0
515,21.7,0,0,0
606,15,1,0,0
478,11.7,1,0,0
507,8.3,1,0,0
546,14.4,0,1,0
506,10.6,0,0,0
542,13.3,0,0,0
562,11.1,0,0,0
561,14.4,1,0,0
563,13.9,1,0,0
511,14.4,1,0,0
499,12.8,0,0,0
529,15.6,0,0,0
494,18.3,0,0,0
574,17.2,0,0,0
620,21.7,1,0,0
554,27.6,1,0,0
563,26.7,1,0,0
649,29.8,0,0,0
592,33.5,0,0,0
654,30.3,0,0,0
588,28.7,0,0,0
592,24.4,1,0,0
493,20,1,0,0
640,20,1,0,0
594,23.9,0,0,0
547,20,0,0,0
584,16.1,0,0,0
568,21.1,0,0,0
565,21.7,1,0,0
622,23.9,1,0,0
540,25,1,0,0
599,25.6,0,0,0
634,23.3,0,0,0
553,23.3,0,0,0
580,26.1,0,1,0
658,27.7,1,0,0
664,28.6,1,0,0
662,33.6,1,0,0
574,37,0,0,0
640,23.9,0,0,0
605,24.4,0,0,0
597,27.3,0,0,0
631,31.6,1,0,0
622,33.9,1,0,0
660,34.2,1,0,0
570,36.4,0,0,0
614,39,0,0,0
598,40.3,0,0,0
637,41,0,0,0
641,35.6,1,0,0
668,36.1,1,0,0
646,30.9,1,0,0
586,26.1,0,0,0
646,26.7,0,0,0
585,26.1,0,0,0
635,37.6,0,0,0
603,31.1,1,0,0
644,26.7,1,0,0
653,22.8,1,0,0
607,23.3,0,0,0
591,25,0,0,0
553,28.9,0,0,0
593,31,0,0,0
604,33.3,1,0,0
640,29.7,1,1,0
633,33.8,1,0,0
645,31.3,0,0,0
635,32.1,0,0,0
668,32.6,0,0,0
607,37.1,0,0,0
588,39.5,1,0,0
604,25.6,1,0,0
678,30.2,1,0,0
582,33.8,0,0,0
589,37.2,0,0,0
542,26.7,0,0,0
628,33.4,0,0,0
621,30.2,1,0,0
681,30.8,1,0,0
654,29.2,1,0,0
652,26.1,0,0,0
592,35.8,0,0,0
585,37.1,0,0,0
582,43.1,0,0,0
591,39,1,0,0
607,39.2,1,0,0
683,40.8,1,0,0
568,24.4,0,0,0
643,29.1,0,0,0
579,32.2,0,0,0
621,31.1,0,0,0
663,26.1,1,0,0
633,25.6,1,0,0
657,30.8,1,0,0
598,31.7,0,0,0
690,32.3,0,1,0
573,35,0,0,0
652,36,0,0,0
719,24.4,1,0,0
738,26.1,1,0,0
710,25,1,0,0
605,25,0,0,0
576,29.4,0,0,0
581,28.6,0,0,0
613,30.6,0,0,0
605,29.5,1,0,0
653,24.4,1,0,0
587,25,1,0,0
648,30.5,0,0,0
642,32.3,0,0,0
624,44.4,0,0,0
588,33.5,0,0,0
664,30.5,1,0,0
726,28.8,1,0,0
621,35.2,1,0,0
613,37.5,0,0,0
620,29.3,0,0,0
567,25.6,0,0,0
603,24.4,0,0,0
566,22.8,1,0,0
619,25.6,1,0,0
624,26.1,1,0,0
507,25.6,0,0,0
553,24.4,0,0,0
602,29.3,0,0,0
537,23.9,0,0,0
609,20.6,1,1,0
583,23.3,1,0,0
587,31.3,1,0,0
540,30.6,0,0,0
511,23.3,0,0,0
490,19.4,0,0,0
564,21.1,0,0,0
550,22.2,1,0,0
573,21.7,1,0,0
599,20.6,1,0,0
516,23.3,0,0,0
548,25,0,0,0
541,24.4,0,0,0
563,26.7,0,0,0
646,35.1,1,0,0
672,33.9,1,0,0
655,34.3,1,0,0
599,26.7,0,0,0
553,25.6,0,0,0
637,44,0,0,0
624,41.7,0,0,0
619,40.7,1,0,0
678,40.9,1,0,0
645,36.5,1,0,0
636,33.7,0,0,0
578,34.5,0,0,0
566,33,0,0,0
555,22.8,0,0,0
619,21.1,1,0,0
598,18.9,1,0,0
628,22.2,1,1,0
591,27.7,0,0,0
559,26.1,0,0,0
579,23.9,0,0,0
569,24.4,0,0,0
582,22.2,1,0,0
573,26.7,1,0,0
597,26.7,1,0,0
604,28.8,0,0,0
534,22.2,0,0,0
478,17.2,0,0,0
575,15.6,0,0,0
607,23.3,1,0,0
532,22.8,1,0,0
520,20,1,0,0
593,17.2,0,0,0
533,21.7,0,0,0
597,21.7,0,0,0
607,20.6,0,0,0
672,26.7,1,0,0
637,25.6,1,0,0
585,23.3,1,0,0
547,12.2,0,0,0
530,12.2,0,0,0
547,12.2,0,0,0
559,16.1,0,0,0
639,14.4,1,0,0
560,5,1,0,0
562,7.8,1,0,0
532,10.6,0,0,0
582,5.6,0,0,0
560,6.7,0,1,0
556,11.1,0,0,0
606,10,1,0,0
596,9.4,1,0,0
616,12,1,0,0
539,10.6,0,0,0
529,8.9,0,0,0
599,8.3,0,0,0
485,8.3,0,0,0
514,1.1,1,0,0
539,2.8,1,0,0
532,5,1,0,0
552,5.6,0,0,0
532,10,0,0,0
527,11.1,0,0,0
561,8.9,0,0,0
534,7.2,1,0,0
563,8.9,1,0,0
571,4.4,1,0,0
585,12.2,0,0,0
521,8.9,0,0,0
482,1.7,0,0,0
457,8.9,0,0,0
530,16.7,1,0,0
586,12.8,1,0,0
521,9.4,1,0,0
605,13.9,0,0,0
559,16.7,0,0,0
577,14.4,0,0,0
560,12.8,0,0,0
643,11.7,1,1,0
589,12.2,1,0,0
547,14.4,1,0,0
643,18.3,0,0,0
517,17.8,0,0,0
534,2.2,0,0,0
476,0.6,0,0,0
566,2.8,1,0,0
524,0.6,1,0,0
498,2.2,1,0,0
548,4.4,0,0,0
516,1.1,0,0,0
529,3.3,0,0,0
538,0.6,0,0,0
546,1.1,1,0,0
599,8.9,1,0,0
560,8.3,1,0,0
555,7.2,0,0,0
604,10.6,0,0,0
536,6.7,0,0,0
569,5,0,0,0
595,5,1,0,0
583,3.3,1,0,0
436,-3.9,1,0,0
340,-5.6,0,0,0
391,-11.1,0,0,0
377,-13.3,0,0,0
446,-10,0,0,0
432,-9,1,0,0
467,-8.9,1,0,0
453,-16.7,1,0,0
554,-12.2,0,1,1
402,-13.9,0,0,0
415,-7.8,0,0,0
452,-10,0,0,0
499,-11.1,1,0,0
447,-8.3,1,0,0
427,-0.6,1,0,0
465,2.8,0,0,0
481,1.1,0,0,0
521,11.1,0,0,0
518,16,0,0,0
527,2.2,1,0,0
465,-5.6,1,0,0
442,-5.6,1,0,0
381,-4,0,0,0
449,-3.9,0,0,0
477,-6.1,0,0,0
462,0.6,0,0,0
512,3.9,1,0,0
553,8.3,1,0,0
558,7.8,1,0,0
543,12.8,0,0,0
537,11.1,0,0,0
441,-0.6,0,0,0
501,6.7,0,0,0
564,11.1,1,0,0
561,11.1,1,0,0
510,6.7,1,0,0
481,1.1,0,0,0
479,-0.6,0,0,0
530,6.7,0,0,0
471,5,0,1,0
450,-6.7,1,0,0
436,5.6,1,0,0
390,3.9,1,0,0
388,-10,0,0,0
404,-5.6,0,0,0
375,-6.7,0,0,0
370,-5.6,0,0,0
369,-1.7,1,0,0
393,-2.8,1,0,0
397,-3.3,1,0,0
388,-1.7,0,0,0
461,2.2,0,0,0
475,7.8,0,0,0
501,8.9,0,0,0
504,7.8,1,0,0
472,2.2,1,0,0
460,3.9,1,0,0
470,13.9,0,0,0
439,18.9,0,0,0
465,7.8,0,0,0
499,4.4,0,0,0
483,7.2,1,0,0
524,6.1,1,0,0
511,11.1,1,0,0
447,12.8,0,0,0
485,16.7,0,0,0
444,15.6,0,0,0
540,6.7,0,1,0
491,7.8,1,0,0
501,6.1,1,0,0
481,8.3,1,0,0
478,6.1,0,0,0
451,5.6,0,0,0
460,2.2,0,0,0
467,2.2,0,0,0
532,3.9,1,0,0
518,4.4,1,0,0
481,5,1,0,0
495,7.8,0,0,0
479,4.4,0,0,0
489,8.3,0,0,0
504,9.4,0,0,0
511,2.8,1,0,0
593,7.2,1,0,0
513,13.3,1,0,0
485,11.7,0,0,0
495,3.3,0,0,0
498,4.4,0,0,0
